budget,genres,id,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,release_year,return,id_collection,name_collection,genres_cleaned,producer_cleaned,Country_cleaned,Language_cleaned
37000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",62837,en,A story centered on the friendship between a boy and a dolphin whose tail was lost in a crab trap.,6.695229,"[{'name': 'Alcon Entertainment', 'id': 1088}, {'name': 'Arc Productions', 'id': 10280}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-09-23,95404397.0,113.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Inspired by the amazing true story of Winter.,Dolphin Tale,6.6,166.0,2011,2.578497216216216,288491.0,Dolphin Tale Collection,"Drama, Family",Alcon Entertainment,United States of America,English
13500000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1498,en,A quartet of mutated humanoid turtles clash with an uprising criminal gang of ninjas,13.184585,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Golden Harvest Company', 'id': 2521}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1990-03-30,202000000.0,93.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Heroes in a half shell!,Teenage Mutant Ninja Turtles,6.5,486.0,1990,14.962962962962964,1582.0,Teenage Mutant Ninja Turtles (Original) Collection,"Science Fiction, Action, Adventure, Comedy, Family",New Line Cinema,Hong Kong,Français
1800000,"[{'id': 27, 'name': 'Horror'}]",377,en,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson (Heather Langenkamp) traces the cause to child molester Fred Krueger (Robert Englund), who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen (Johnny Depp), must devise a plan to lure the monster out of the realm of nightmares and into the real world...",13.694713,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Smart Egg Pictures', 'id': 1531}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1984-11-14,25504513.0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"If Nancy Doesn't Wake Up Screaming, She Won't Wake Up At All!",A Nightmare on Elm Street,7.2,1212.0,1984,14.169173888888889,8581.0,A Nightmare on Elm Street Collection,Horror,New Line Cinema,United States of America,English
3500000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",26515,en,A man conjures up a gigantic vengeance demon called Pumpkinhead to destroy the teenagers who accidentally killed his son.,11.841506,"[{'name': 'De Laurentiis Entertainment Group (DEG)', 'id': 484}, {'name': 'Lion Films', 'id': 29393}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1988-06-09,4385516.0,86.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,For each of man's evils a special demon exists...,Pumpkinhead,5.9,108.0,1988,1.2530045714285714,123256.0,Pumpkinhead Collection,"Fantasy, Horror",De Laurentiis Entertainment Group (DEG),United States of America,English
18000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}, {'id': 10751, 'name': 'Family'}]",10028,en,"Honey Daniels (Jessica Alba) dreams of making a name for herself as a hip-hop choreographer. When she's not busy hitting downtown clubs with her friends, she teaches dance classes at a nearby community center in Harlem, N.Y., as a way to keep kids off the streets. Honey thinks she's hit the jackpot when she meets a hotshot director (David Moscow) who casts her in one of his music videos. But, when he starts demanding sexual favors from her, Honey makes a decision that will change her life.",11.863954,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Marc Platt Productions', 'id': 2527}, {'name': 'NuAmerica Entertainment', 'id': 41963}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-11-24,62646763.0,94.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Her dream. Her terms,Honey,6.0,313.0,2003,3.480375722222222,144689.0,Honey Collection,"Romance, Music, Family",Universal Pictures,United States of America,English
103000000,"[{'id': 35, 'name': 'Comedy'}]",109439,en,"This time, there's no wedding. No bachelor party. What could go wrong, right? But when the Wolfpack hits the road, all bets are off.",25.085639,"[{'name': 'Legendary Pictures', 'id': 923}, {'name': 'Green Hat Films', 'id': 3527}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-05-23,362000072.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It all ends.,The Hangover Part III,6.0,2991.0,2013,3.514563805825243,86119.0,The Hangover Collection,Comedy,Legendary Pictures,United States of America,English
80000000,"[{'id': 35, 'name': 'Comedy'}]",38365,en,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",23.981251,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Happy Madison Productions', 'id': 2608}, {'name': 'Relativity Media', 'id': 7295}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-06-24,271430189.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Boys will be boys. . . some longer than others.,Grown Ups,6.0,1746.0,2010,3.3928773625,180546.0,Grown Ups Collection,Comedy,Columbia Pictures,United States of America,English
7000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",51620,en,"In the world's most dangerous prison, a new game is born: Death Race. The rules of this adrenaline-fueled blood sport are simple, drive or die. When repentant convict Carl Lucas discovers there's a price on his head, his only hope is to survive a twisted race against an army of hardened criminals and tricked-out cars.",11.086032,"[{'name': 'Moonlighting Films', 'id': 9137}, {'name': 'CC Capital Arts Entertainment SRL', 'id': 17008}]","[{'iso_3166_1': 'ZA', 'name': 'South Africa'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",2010-11-12,0.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"10 killer drivers, 20,000 rounds of ammo. 1 survivor.",Death Race 2,5.5,323.0,2010,0.0,86116.0,Death Race Collection,"Action, Thriller, Science Fiction",Moonlighting Films,South Africa,English
9023199,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",18707,cn,"The third installment in the Lucky Stars series, following Winners and Sinners (1983) and My Lucky Stars (1985)... The team are released from prison to play detective in order to stop a ruthless gang from ruining their reputations, taking their lives, and that of a key witness in an upcoming trial. They must battle their way through and with the help of Muscles, take down the bad guys.",3.575166,"[{'name': 'Golden Harvest Company', 'id': 2521}, {'name': 'Paragon Films Ltd.', 'id': 3055}, {'name': 'Bojon Films Company Ltd.', 'id': 37065}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",1985-08-15,0.0,105.0,"[{'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,This time those cock-eyed crime-busters land in more trouble than anyone could safely handle.,"Twinkle, Twinkle, Lucky Stars",6.4,18.0,1985,0.0,300431.0,Lucky Stars Collection,"Action, Comedy",Golden Harvest Company,Hong Kong,日本語
1000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",50698,en,A crew from a paranormal reality television show lock themselves in a haunted psychiatric hospital. They search for evidence of paranormal activity as they shoot what ends up becoming their final episode.,5.324419,"[{'name': 'Darclight', 'id': 6448}, {'name': 'Twin Engine Films', 'id': 12881}, {'name': 'Digital Interference Productions', 'id': 52207}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-09-09,0.0,92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,They Were Searching For Proof.  They Found it.,Grave Encounters,6.2,385.0,2011,0.0,135466.0,Grave Encounters Collection,"Thriller, Horror",Darclight,Canada,English
