id,credit_id_crew,department_crew,gender_crew,crew_id,job_crew,name_crew,profile_path_crew
62897,52fe4692c3a368484e09813d,Writing,2,116158,Writer,Spede Pasanen,/mp4yLqiqelgXvsNbTlDH2GVskXP.jpg
44052,52fe4674c3a36847f810008b,Sound,2,5467,Original Music Composer,Leigh Harline,/cE6Wt8ZoGfDfXjVcUgsi4TRb8ls.jpg
15476,52fe465d9251416c750760bd,Directing,2,55637,Director,Brian Hooks,/rixYnuCu4Sfnfm4wZDEq308gJTx.jpg
263115,592375f5c3a36804260031bc,Art,0,1802810,Location Scout,Matthew McLellan,/sqJI0f2F9WRj4597tycsiLil49v.jpg
677,52fe4269c3a36847f801c7af,Production,1,10139,Producer,Leni Riefenstahl,/imaDmGuvU8mc3c61vg4jMV8UGTl.jpg
8692,55fd50dac3a36813340009f0,Writing,2,44957,Screenplay,Dardano Sacchetti,/gAOsap6fh6S9WBTR6iSX0jSLIxX.jpg
52996,52fe484dc3a36847f8160855,Writing,2,11090,Writer,Edgar Wright,/912vB9enhaErCSMpJpyWAB4yOOH.jpg
87737,52fe49d59251416c910ba331,Writing,2,83858,Writer,Simon Barrett,/ucJy0Ia79AX6iLZr8A9NaBnVYaw.jpg
11104,52fe43f89251416c75024943,Production,0,57617,Producer,Jeffrey Lau,/uyHSy9QyXb9pwZPG2Rd4jI7fPIV.jpg
90019,52fe48979251416c750acee1,Sound,0,29501,Original Music Composer,Stelvio Cipriani,/lMk2Iwbq2RcvCZd9UJw0QtT74VZ.jpg
72356,52fe4866c3a368484e0f6a7f,Directing,2,229263,Director,Benoît Jacquot,/gQ9Mxt0uYIcFs0g1byxYqI2FoZx.jpg
109301,52fe4aafc3a36847f81dc4c7,Directing,2,11434,Director,Wilfred Jackson,/iQgvspjL7upXGHSG6EbOuzBMg3Y.jpg
51533,52fe47f7c3a36847f8151eb7,Directing,0,77301,Director,Jiang Wen,/sLLXxXg11VFdVYFthF9RB8wIQKv.jpg
267931,536436fd0e0a2647cb000236,Writing,0,1107724,Writer,Patricio Valladares,/6r0ZW5nb3gEtN8EMkJdqIoTDn3S.jpg
28489,52fe459ac3a368484e064941,Directing,2,22467,Director,Umberto Lenzi,/jAjNPuw5E8gRtunpsOsKXKndArE.jpg
9930,52fe454bc3a36847f80c643f,Production,2,8858,Producer,Ivan Reitman,/vYT8xpWCzKZc9F02Oqihxx1GFyg.jpg
